selection,relation_set,metric,go_id,depth,letters
namespace,is_a,shortest,GO:0001776,2.0,20.0
namespace,is_a,shortest,GO:0001777,6.0,29.0
namespace,is_a,shortest,GO:0001778,6.0,20.0
namespace,is_a,shortest,GO:0001779,5.0,32.0
namespace,is_a,shortest,GO:0001780,3.0,21.0
namespace,is_a,shortest,GO:0001781,6.0,26.0
namespace,is_a,shortest,GO:0001782,4.0,16.0
namespace,is_a,shortest,GO:0001783,7.0,21.0
namespace,is_a,shortest,GO:0001787,5.0,30.0
namespace,is_a,shortest,GO:0001788,4.0,37.0
namespace,is_a,shortest,GO:0001794,6.0,23.0
namespace,is_a,shortest,GO:0001795,6.0,23.0
namespace,is_a,shortest,GO:0001796,8.0,35.0
namespace,is_a,shortest,GO:0001797,9.0,43.0
namespace,is_a,shortest,GO:0001798,9.0,43.0
namespace,is_a,shortest,GO:0001799,8.0,35.0
namespace,is_a,shortest,GO:0001800,9.0,43.0
namespace,is_a,shortest,GO:0001801,9.0,43.0
namespace,is_a,shortest,GO:0001802,5.0,23.0
namespace,is_a,shortest,GO:0001803,7.0,35.0
namespace,is_a,shortest,GO:0001804,8.0,43.0
namespace,is_a,shortest,GO:0001805,8.0,43.0
namespace,is_a,shortest,GO:0001806,6.0,22.0
namespace,is_a,shortest,GO:0001807,8.0,34.0
namespace,is_a,shortest,GO:0001808,9.0,42.0
namespace,is_a,shortest,GO:0001809,9.0,42.0
namespace,is_a,shortest,GO:0001810,8.0,33.0
namespace,is_a,shortest,GO:0001811,9.0,41.0
namespace,is_a,shortest,GO:0001812,9.0,41.0
namespace,is_a,shortest,GO:0001813,6.0,49.0
namespace,is_a,shortest,GO:0001814,7.0,57.0
namespace,is_a,shortest,GO:0001815,7.0,57.0
namespace,is_a,shortest,GO:0001816,2.0,18.0
namespace,is_a,shortest,GO:0001817,4.0,30.0
namespace,is_a,shortest,GO:0001818,5.0,38.0
namespace,is_a,shortest,GO:0001819,5.0,38.0
namespace,is_a,shortest,GO:0001820,5.0,18.0
namespace,is_a,shortest,GO:0001821,5.0,18.0
namespace,is_a,shortest,GO:0001822,4.0,17.0
namespace,is_a,shortest,GO:0001823,5.0,22.0
namespace,is_a,shortest,GO:0001824,3.0,21.0
namespace,is_a,shortest,GO:0001825,3.0,19.0
namespace,is_a,shortest,GO:0001826,4.0,32.0
namespace,is_a,shortest,GO:0001827,4.0,31.0
namespace,is_a,shortest,GO:0001828,4.0,34.0
namespace,is_a,shortest,GO:0001829,4.0,34.0
namespace,is_a,shortest,GO:0001830,4.0,33.0
namespace,is_a,shortest,GO:0001831,4.0,36.0
namespace,is_a,shortest,GO:0001832,3.0,16.0
namespace,is_a,shortest,GO:0001833,3.0,30.0
namespace,is_a,shortest,GO:0001834,3.0,32.0
namespace,is_a,shortest,GO:0001835,4.0,18.0
namespace,is_a,shortest,GO:0001836,7.0,36.0
namespace,is_a,shortest,GO:0001837,5.0,33.0
namespace,is_a,shortest,GO:0001838,5.0,32.0
namespace,is_a,shortest,GO:0001839,5.0,24.0
namespace,is_a,shortest,GO:0001840,5.0,22.0
namespace,is_a,shortest,GO:0001841,6.0,19.0
namespace,is_a,shortest,GO:0001842,3.0,19.0
namespace,is_a,shortest,GO:0001843,5.0,17.0
namespace,is_a,shortest,GO:0001845,6.0,21.0
namespace,is_a,shortest,GO:0001865,7.0,22.0
namespace,is_a,shortest,GO:0001866,7.0,20.0
namespace,is_a,shortest,GO:0001867,4.0,33.0
namespace,is_a,shortest,GO:0001868,6.0,45.0
namespace,is_a,shortest,GO:0001869,7.0,53.0
namespace,is_a,shortest,GO:0001870,7.0,53.0
namespace,is_a,shortest,GO:0001878,4.0,15.0
namespace,is_a,shortest,GO:0001879,5.0,16.0
namespace,is_a,shortest,GO:0001880,3.0,23.0
namespace,is_a,shortest,GO:0001881,5.0,17.0
namespace,is_a,shortest,GO:0001885,5.0,26.0
namespace,is_a,shortest,GO:0001886,5.0,28.0
namespace,is_a,shortest,GO:0001887,3.0,32.0
namespace,is_a,shortest,GO:0001889,5.0,16.0
namespace,is_a,shortest,GO:0001890,4.0,19.0
namespace,is_a,shortest,GO:0001892,5.0,28.0
namespace,is_a,shortest,GO:0001893,3.0,27.0
namespace,is_a,shortest,GO:0001894,4.0,17.0
namespace,is_a,shortest,GO:0001895,5.0,17.0
namespace,is_a,shortest,GO:0001896,4.0,9.0
namespace,is_a,shortest,GO:0001897,4.0,35.0
